Unnamed: 0;LVL;Kanji;Lecture ON;Lecture KUN;Signification
753;N2;簡;カン;-;simplicité, brièveté
754;N2;籍;セキ;-;"enrôler, adhésion, registre (d'état civil,
administratif)"
755;N3;米;ベイ, マイ;こめ;grain de riz, Amérique
756;N2;粉;フン;こ, こな;farine, poudre
757;N2;粒;リュウ;つぶ;"grain, particule, compteur pour les
particules"
758;N3;精;セイ, ショウ;-;vitalité, énergie
759;N2;糸;シ;いと;fil
760;N3;約;ヤク;つづ.まる, つづ.める;promesse, approximation, environ
761;N2;紅;コウ, ク;べに, くれない, あか.い;rouge foncé, cramoisi, rouge à lèvres
762;N2;純;ジュン;-;pureté, innocence, net (pour un bénéfice)
763;N4;紙;シ;かみ;papier
764;N2;級;キュウ;-;rang, niveau
765;N2;細;サイ;ほそ.い, こま.かい;fin, étroit, ténu
766;N2;紹;ショウ;-;"présentations, introduction (d'une
personne)"
767;N4;終;シュウ;お.わる,  お.える;finir, fin
768;N3;組;ソ;く.む, くみ;construire, association, groupe, classe
770;N3;経;ケイ, キョウ;へ.る, た.つ;expérience, longitude, sûtra
771;N2;結;ケツ;むす.ぶ,;lier, nouer, attacher, organiser
772;N2;絡;ラク;から.む;"entrelacer, s'enrouler autour, s'empêtrer
dans"
773;N3;給;キュウ;たま.う, たも.う;salaire, allocation, subvention
774;N3;絵;カイ, エ;-;image, peinture, esquisse
775;N3;絶;ゼツ;た.える;désespoir, cesser, interrompre
776;N3;続;ゾク, ショク;つづ.く, つづ.ける;continuer
777;N2;綿;メン;わた;coton
778;N2;総;ソウ;す.べて;global, tout, entier
779;N2;緑;リョク, ロク;みどり;vert
780;N3;緒;ショ, チョ;お, いとぐち;lanière, lacet, origine, début, bout
781;N2;線;セン;すじ;ligne, voie, fil
782;N2;編;ヘン;あ.む;tresse, natte, tricoter, compilation
783;N2;練;レン;ね.る;s'entraîner, s'exercer
784;N2;績;セキ;-;exploit, performance, coton non tissé
785;N2;缶;カン;かま;boîte de conserve, conteneur, récipient
786;N3;罪;ザイ;つみ;crime, péché, culpabilité
787;N3;置;チ;お.く;placer, poser, déposer
788;N2;署;ショ;-;"rôle, inscription, bureau (d'une
administration)"
789;N3;美;ビ, ミ;うつく.しい;beauté, belle
790;N2;群;グン;む.れる;groupe, foule, attroupement, s'attrouper
791;N2;羽;ウ;は, はね;"plume, compteur pour les oiseaux et les
lapins"
792;N2;翌;ヨク;-;suivant (dans le temps), celui d'après
793;N4;習;シュウ;なら.う;apprendre, coutume
794;N3;老;ロウ;お.いる, ふ.ける;vieillard, personne âgée
795;N4;考;コウ;かんが.える;réfléchir, considérer
796;N4;者;シャ;もの;personne (quelqu'un)
797;N2;耕;コウ;たがや.す;labourer, cultiver
798;N5;耳;ジ;みみ;oreille
799;N5;聞;ブン, モン;き.く, き.こえる;entendre, écouter, demander
800;N3;職;ショク, ソク;-;emploi, métier, travail
801;N4;肉;ニク;しし;viande, chair
803;N2;肌;キ;はだ;peau, texture
