Unnamed: 0;LVL;Kanji;Lecture ON;Lecture KUN;Signification
40;N2;令;レイ;-;ordre, commandement, décret
41;N4;以;イ;もっ.て;par le moyen de, en vue de, comparé à
42;N2;仮;カ, ケ;かり;temporaire, provisoire, nom d'emprunt
43;N2;仲;チュウ;なか;rapport, relation, médiation
44;N3;件;ケン;くだん;affaire, cas, article
45;N3;任;ニン;まか.せる, まか.す;responsabilité, confier à
46;N5;休;キュウ;やす.む, やす.める;se reposer, repos
47;N5;会;カイ;あ.う;réunion, rencontre, parti
48;N3;伝;デン, テン;つた.わる, つた.える;"transmettre, communiquer, légende,
tradition"
49;N2;伸;シン;の.びる;élargir, étendre, étirer, allonger
50;N2;伺;シ;うかが.う;"demander, questionner, visiter (hon),
présenter ses respects"
51;N3;似;ジ;に.る;ressembler à, imiter
52;N3;位;イ;くらい, ぐらい;rang, position, à peu près
53;N4;低;テイ;ひく.い, ひく.める;bas, abaisser
54;N4;住;ヂュウ;す.む;résider, habiter
55;N4;体;タイ;からだ;corps
56;N5;何;カ;なに, なん;quoi, que
57;N3;余;ヨ;あま.る, あま.り;dépasser, surplus
58;N4;作;サク, サ;つく.る;fabriquer, produire, réaliser
59;N4;使;シ;つか.う;utiliser
60;N3;例;レイ;たと.える;exemple, précédent
61;N3;供;キョウ, ク, クウ;そな.える, とも;accompagner, offrir, suffixe du pluriel
62;N2;依;イ, エ;よ.る;dépendant, dû à
63;N2;価;カ, ケ;あたい;prix, valeur
64;N4;便;ベン, ビン;たよ.り;commodité, lettre, courrier
66;N3;係;ケイ;かか.る;service, en charge de, devoir
67;N2;保;ホ, ホウ;たも.つ;préserver, maintenir, garantir
68;N3;信;シン;-;croyance, confiance en soi, croire
69;N2;修;シュウ, シュ;おさ.める;bien se conduire, discipline, maîtrise
70;N2;個;コ, カ;-;individuel, privé, compteur d'articles ou d'unités militaires
71;N2;倍;バイ;-;double, deux fois
72;N3;倒;トウ;たお.れる, たお.す;se renverser, s'écrouler, s'effondrer
73;N3;候;コウ;そうろう;temps (météorologique), climat
74;N4;借;シャク;か.りる;emprunter, louer
75;N3;値;チ;ね, あたい;prix, coût, valeur
76;N3;偉;イ;えら.い;remarquable, grandiose, célèbre
77;N2;停;テイ;と.める, と.まる;arrêt, s'arrêter
78;N2;健;ケン;すこ.やか;pleine forme, bien portant, sain
79;N3;側;ソク;かわ, そば;côté, flanc
80;N3;偶;グウ;たま;par hasard, nombre pair, couple
81;N3;備;ビ;そな.える;préparation, être équipé de, approvisionné
82;N2;傾;ケイ;"かたむ.く, かたぶ.く,
かた.げる";pencher, incliner, basculer, sombrer
83;N4;働;"ドウ, リュク, リキ,
ロク";はたら.く;travailler
84;N2;像;ゾウ;-;portrait, figure, représentation
85;N2;億;オク;-;cent million, 10^8
86;N3;優;ユウ, ウ;"やさ.しい, すぐ.れる,
まさ.る";gentillesse, tendresse, surpasser, acteur
87;N4;元;ゲン, ガン;もと;origine, commencement
88;N4;兄;ケイ, キョウ;あに;frère ainé, grand-frère
89;N2;兆;チョウ;きざ.す, きざ.し;signe, présage, donner signe, 10^12
90;N5;先;セン;さき, ま.ず;avant, devant, précédent
91;N4;光;コウ;ひか.る, ひかり;lumière, éclat, étinceler, briller
92;N2;児;ジ, ニ;こ;nouveau-né, enfant
93;N2;党;トウ;なかま, むら;parti politique, faction
94;N5;入;ニュウ, ジュ;い.る, い.れる, はい.る;entrer, insérer
95;N3;全;ゼン;すべ.て;totalité, tout, en entier
96;N5;八;ハチ;や, や.つ, やっ.つ, よう;huit
97;N2;公;コウ, ク;おおやけ;public, officiel
99;N5;六;ロク, リク;む;six
100;N3;共;キョウ;とも;marque du pluriel, ensemble, les deux
101;N2;兵;ヘイ, ヒョウ;つわもの;soldat, guerrier, troupes
102;N3;具;グ;そな.える, つぶさ.に;ustensile, outil, meuble
103;N3;内;ナイ, ダイ;うち;intérieur, dedans, maison
104;N5;円;エン;まる.い;cercle, yen, rond
105;N2;冊;サツ, サク;ふみ;tome, volume, compteur pour les livres
106;N2;再;サイ, サ;ふたた.び;pour la seconde fois, de nouveau
107;N4;写;シャ;うつ.す;copier, reproduire
108;N4;冬;トウ;ふゆ;hiver
109;N3;冷;レイ;つめ.たい, ひ.える;glacé, froid (au contact), refroidir
110;N2;凍;トウ;"こお.る, こご.える, い.
てる, し.みる";geler, congeler
111;N3;処;ショ;ところ;vierge, sentence, lieu
112;N5;出;シュツ, スイ;で.る, だ.す, い.でる;sortir, quitter, présence
113;N5;分;ブン, フン;わ.ける,  わ.かる;comprendre, minute, degré, taux
114;N4;切;セツ, サイ;き.る;couper, trancher
115;N2;刊;カン;-;publication, édition, publier
116;N3;列;レツ;-;rang, file, queue
117;N3;初;ショ;はじ.め, はじ.めて;première fois, commencement, début
118;N3;判;ハン, バン;わか.る;décision, jugement, sceau, tampon
119;N4;別;ベツ;わか.れる, わ.ける;se séparer, séparer, pas en particulier
120;N3;利;リ;き.く;bénéfice, profit, avantage
121;N3;到;トウ;いた.る;"arriver à (une décision), atteindre (une
étape), aboutir à"
122;N3;制;セイ;-;système, régime, organisation
123;N2;刷;サツ;す.る;impression, imprimer
124;N2;券;ケン;-;coupon, ticket
125;N2;刺;シ;さ.す, さし, とげ;percer, piquer, enfoncer, carte de visite
126;N3;刻;コク;きざ.む;découper, hacher, graver
127;N2;則;ソク;のっと.る;règlement, norme, loi
128;N5;前;ゼン;まえ;avant, devant
129;N2;副;フク;-;vice-, accompagnement
130;N3;割;カツ;わ.る, わ.れる;"diviser, séparer, se fendre, pourcentage,
proportion"
132;N2;劇;ゲキ;-;pièce de théâtre, théâtre
133;N4;力;リョク, リキ, リイ;ちから;force, puissance
134;N3;加;カ;くわ.える;ajouter, accroître, augmentation
135;N3;助;ジョ;たす.ける, すけ;secourir, aider, être aidé
136;N3;努;ド;つと.める;s'efforcer de, faire des efforts, s'appliquer
137;N3;労;ロウ;"いたわ.る, つか.れる,
ねぎら.う";labeur, effort, souci
138;N2;効;コウ;き.く;être efficace, efficace, mérite
139;N2;勇;ユウ;いさ.む;avoir du courage, bravoure, verve
140;N4;勉;ベン;つと.める;exercice, travail
141;N4;動;ドウ;うご.く;bouger, se déplacer, mouvement
142;N3;務;ム;つと.める;travailler, tâche, travail
143;N3;勝;ショウ;か.つ;gagner, surpasser, victoire
144;N2;募;ボ;つの.る;"empirer, recruter, devenir violent,
contribution (monétaire)"
145;N2;勢;セイ, ゼイ;いきお.い, はずみ;énergie, vigueur, puissance
146;N3;勤;キン, ゴン;つと.める;travailler, application, effort
147;N2;包;ホウ;つつ.む;envelopper, emballer, recouvrir
148;N3;化;カ, ケ;ば.ける;transformer, influence
149;N5;北;ホク;きた;Nord
150;N2;匹;ヒツ;ひき;"rouleau de tissu, compteur pour les petits
animaux, égal"
151;N4;区;ク;-;arrondissement, district
152;N4;医;イ;い.やす;médecin, médecine
153;N5;十;ジュウ;とお, と;dix
154;N5;千;セン;ち;mille
155;N5;午;ゴ;うま;midi
156;N5;半;ハン;なか.ば;moitié, milieu, demi
157;N2;卒;ソツ;お.える, お.わる;fin des études, soldat, serviteur
158;N2;協;キョウ;-;coopération
159;N5;南;ナン;みなみ;Sud
160;N3;単;タン;ひとえ;simple, unique, seulement
161;N2;占;セン;うらな.う, し.める;"divination, bonne aventure, tenir, posséder,
prendre"
162;N2;印;イン;しるし;marque, sceau, symbole
163;N3;危;キ;あぶ.ない;dangereux, risqué, crainte
165;N2;卵;ラン;たまご;œuf
166;N2;厚;コウ;あつ.い;épais, lourd, cordial
167;N3;原;ゲン;はら;prairie, pré, original, primitif
168;N4;去;キョ, コ;さ.る;passé, quitter
169;N3;参;サン;まい.る;aller, venir
170;N5;友;ユウ;とも;ami
171;N2;双;ソウ;ふた, ふたつ;"paire, deux parties, compteurs pour les
paires"
172;N3;反;ハン;そ.る, そ.らす;anti, opposé, courber, se courber
173;N3;収;シュウ;おさ.める;obtenir, récolter, réserve
174;N3;取;シュ;と.る;prendre, saisir
175;N3;受;ジュ;う.ける;"recevoir, passer (un examen), répondre (au
téléphone)"
176;N5;口;コウ, ク;くち;bouche
177;N5;古;コ;ふる.い;vieux, ancien
178;N2;叫;キョウ;さけ.ぶ;crier, hurler
179;N2;召;ショウ;め.す;"appeler, faire venir à soi, porter (des
vêtements), attraper (un rhume), prendre (un bain), manger, boire"
180;N2;可;カ, コク;べ.き, べ.し;possible, réalisable, acceptable
181;N4;台;ダイ, タイ;うてな, われ;support, socle
182;N2;史;シ;-;histoire, chronique
183;N5;右;ウ, ユウ;みぎ;droite
184;N3;号;ゴウ;さけ.ぶ, よびな;numéro, titre
185;N2;司;シ;つかさど.る;administrer, gouverner, directeur
186;N2;各;カク;おのおの;chaque, chacun
187;N4;合;ゴウ, ガ;あ.う;correspondre, convenir
188;N4;同;ドウ;おな.じ;identique, égal, similaire
189;N5;名;メイ, ミョウ;な;nom, célèbre, fameux
190;N3;向;コウ;む.こう, む.く;se diriger vers, de l'autre côté
191;N3;君;クン;きみ;toi, tu, suffixe de nom (-kun)
192;N3;否;ヒ;いな, いや;négation, nier, refuser
193;N2;含;ガン;ふく.む;inclure, garder à l'esprit, retenir
194;N3;吸;キュウ;す.う;aspirer, inhaler, absorber
195;N3;吹;スイ;ふ.く;souffler, respirer
196;N3;告;コク;つ.げる;informer, annoncer, révélation
198;N2;周;シュウ;まわ.り;tour, alentours, rotation
199;N4;味;ミ;あじ, あじ.わう;saveur, goût, apprécier la saveur de
200;N3;呼;コ;よ.ぶ;appeler, inviter
201;N3;命;メイ;いのち;ordre, commandement, destin, vie
202;N3;和;ワ;やわ.らぐ, なご.やか;harmonie, paix, serein adoucir
203;N2;咲;ショウ;さ.く;éclore, fleurir, floraison
204;N4;品;ヒン;しな;marchandise, article, compteur de plats
205;N4;員;イン;-;employé, membre
206;N3;商;ショウ;あきな.う;commerce, vente
207;N4;問;モン;と.う;question, demander, interroger
208;N2;善;ゼン;よ.い, い.い, よ.く;bien, bonté, vertu
209;N3;喜;キ;よろこ.ぶ;se réjouir, être content
210;N2;喫;キツ;-;consommer, manger, boire, fumer
211;N2;営;エイ;いとな.む;diriger (un spectacle, une entreprise), travail
212;N2;器;キ;うつわ;ustensile, instrument, appareil
213;N5;四;シ;よ, よん;quatre
214;N4;回;カイ;まわ.る;tourner, tour
215;N3;因;イン;よ.る;cause, facteur, dépendre de
216;N2;団;ダン, トン;かたまり, まる.い;groupe, association
217;N3;困;コン;こま.る;être embarrassé, gêné
218;N2;囲;イ;かこ.む;entourer, assiéger, encercler
219;N4;図;ズ, ト;はか.る;carte, dessin, plan
220;N2;固;コ;かた.い,  かた.める;dur, ferme, solide, durcir
221;N5;国;コク;くに;pays
222;N3;園;エン;その;parc, jardin
223;N5;土;ド, ト;つち;sol, terre, terrain
224;N2;圧;アツ, エン, オウ;"お.す, へ.す, おさ.える,
お.さえる";pression, domination, submerger, dominer
225;N3;在;ザイ;あ.る;exister, être
226;N4;地;チ, ジ;どま;sol, terre, terrain
227;N2;坂;ハン;さか;pente, colline
228;N2;均;キン;なら.す;égalisé, aplani, nivelé
229;N2;坊;ボウ;-;enfant, garçon, prêtre bouddhiste, bonze
230;N2;型;ケイ;かた;modèle, type
232;N2;埋;マイ;"う.める, うず.める, い.
ける";enterrer, ensevelir, enfouir, remplir
233;N2;城;ジョウ;しろ;château, forteresse
234;N2;域;イキ;-;zone, région, limite
235;N2;基;キ;もと, もとい;base, fondement, fondations
236;N4;堂;ドウ;-;temple, sanctuaire, salle
237;N3;報;ホウ;むく.いる;rapport, information, faire savoir
238;N4;場;ジョウ, チョウ;ば;lieu, place, aire
239;N2;塔;トウ;-;pagode, tour
240;N2;塗;ト;ぬ.る, まみ.れる;peindre, enduire, vernir
241;N2;塩;エン;しお;sel
242;N2;境;キョウ, ケイ;さかい;frontière, région, environnement
243;N3;増;ゾウ;ふ.える, ま.す;augmenter, croître, accroissement
244;N2;壁;ヘキ;かべ;mur, paroi, barrière
245;N4;声;セイ, ショウ;こえ;voix
246;N4;売;バイ;う.る;vendre
247;N3;変;ヘン;か.わる;étrange, bizarre, changer
248;N4;夏;カ;なつ;été
249;N4;夕;セキ;ゆう;soir, soirée
250;N5;外;ガイ;そと, はず.れ;extérieur, dehors
251;N5;多;タ;おお.い;nombreux, beaucoup
252;N4;夜;ヤ;よる;soir, soirée
253;N3;夢;ム, ボウ;ゆめ, ゆめ.みる;rêve, illusion
254;N5;大;ダイ, タイ;おお.きい;grand
255;N5;天;テン;あまつ, あめ;cieux, ciel, impérial
256;N4;太;タイ;ふと.い, ふと.る;gros, grossir
257;N3;夫;フ;おっと;mari, époux, homme
258;N2;央;オウ;-;centre, milieu
259;N3;失;シツ;うしな.う;erreur, faute, perdre (un objet)
260;N2;奥;オウ;おく, おく.まる, くま;intérieur, cœur, épouse
261;N5;女;ジョ, ニョ, ニョウ;おんな, め;femme, féminin
262;N4;好;コウ;この.む, す.く, よ.い,;bien aimé, apprécié, agréable
263;;;;い.い;
264;N4;妹;マイ;いもうと;sœur cadette, petite-sœur
266;N3;妻;サイ;つま;épouse, femme
267;N4;姉;シ;あね;sœur ainée, grande-sœur
268;N4;始;シ;はじ.める;commencer, débuter
269;N2;姓;セイ, ショウ;-;nom de famille
270;N2;委;イ;ゆだ.ねる;comité, confier, déléguer
271;N3;娘;ジョウ;むすめ, こ;fille
272;N3;婚;コン;-;mariage
273;N3;婦;フ;よめ;femme mariée, épouse
274;N5;子;シ, ス, ツ;こ;enfant
275;N4;字;ジ;あざ, あざな,  な;caractère, lettre, mot, hameau
276;N3;存;ソン, ゾン;-;être conscient de, croire
277;N2;季;キ;-;saison
278;N5;学;ガク;まな.ぶ;étudier, apprendre, science
279;N2;孫;ソン;まご;descendance, petits-enfants
280;N3;宅;タク;-;maison, résidence
281;N2;宇;ウ;-;firmament, cieux
282;N3;守;シュ, ス;まも.る, まも.り;protéger, défendre, gardien
283;N5;安;アン;やす.い;bon marché, peu cher, sûr, tranquille
284;N3;完;カン;-;parfait, totalité, achèvement
285;N3;官;カン;-;gouvernement, fonctionnaire
286;N2;宙;チュウ;-;espace, air
287;N3;定;テイ, ジョウ;さだ.める;établir, fixer, décider
288;N2;宝;ホウ;たから;trésor, objet précieux
289;N3;実;ジツ, シツ;み, みの.る, まこと;réalité, réel, véritable, porter ses fruits
290;N3;客;キャク, カク;-;client, hôte
291;N4;室;シツ;むろ;pièce, appartement, chambre
292;N3;害;ガイ;-;mal, blessure
293;N4;家;カ;いえ, や, うち;maison
294;N3;容;ヨウ;い.れる;forme (état de santé), apparence, contenir
295;N3;宿;シュク;やど, やど.る;logement, auberge, se loger
296;N3;寄;キ;よ.る;rendre visite, approcher, collecter, envoyer
297;N3;富;フ, フウ;と.む, とみ;richesse, opulence, devenir riche
298;N4;寒;カン;さむ.い;froid (météorologique)
300;N3;寝;シン;ね.る;dormir, se reposer
301;N3;察;サツ;-;supposer, présumer, deviner, juger
302;N2;寺;ジ;てら;temple bouddhiste
303;N3;対;タイ;"あいて, そろ.い, つれ
あ.い";opposé, anti, opposition
304;N2;封;フウ, ホウ;-;sceller, fermer, sceau
305;N2;専;セン;もっぱ.ら;spécialité, exclusivement
306;N2;将;ショウ;まさ.に;commandant, général, l'un après l'autre
307;N2;尊;ソン;たっと.い;respecter, précieux, noble
308;N2;導;ドウ;みちび.く;mener, guider, conduire
309;N5;小;ショウ;ちい.さい, こ;petit
310;N5;尐;ショウ;すく.ない, すこ.し;un peu, peu de
311;N3;局;キョク;つぼね;bureau, département
312;N3;居;キョ, コ;い.る, お.る;se trouver, être, exister
313;N2;届;カイ;とど.ける;remettre, livrer, notification
314;N4;屋;オク;や;maison, boutique, toît
315;N2;展;テン;-;développement, déploiement, exposition
316;N2;層;ソウ;-;strate, niveau, couche
317;N5;山;サン, セン;やま;montagne
318;N2;岩;ガン;いわ;rocher, roc, falaise
319;N2;岸;ガン;きし;rivage, rive
320;N2;島;トウ;しま;île
321;N5;川;セン;かわ;rivière, fleuve
322;N2;州;シュウ;す;province, état
323;N4;工;コウ;もく;industrie, construction, fabrication
324;N5;左;サ, シャ;ひだり;gauche
325;N2;巨;キョ;-;gigantesque, énorme, gros
326;N3;差;サ;さ.す, さ.し;différence, reste, désigner
327;N2;巻;カン, ケン;ま.く, まき;enrouler, rouleau, tome
328;N4;市;シ;いち;marché, ville
329;N2;布;フ;ぬの;linge, tissu
330;N2;希;キ;まれ;espoir, souhait, désir
331;N3;師;シ, ス;もろもろ, なら.う;expert, professeur, maître
332;N3;席;セキ;むしろ;siège
334;N2;帯;タイ;お.びる, おび;ceinture, zone
335;N4;帰;キ;かえ.る;retourner (chez soi), aboutir à
336;N3;常;ジョウ;つね;habituel, normal, ordinaire
337;N2;帽;ボウ;-;casquette, chapeau, couvre-chef
338;N2;幅;フク;はば;"largeur, kakemono, rouleau suspendu au
mur"
339;N2;干;カン;ほ.す, ひ.る;sécher, sec
340;N3;平;ヘイ,  ヒョウ;ひら;paix, calme, plat
341;N5;年;ネン;とし;année, compteur pour les années
342;N3;幸;コウ;しあわ.せ;bonheur, fortune, chance
343;N2;幼;ヨウ;おさな.い;enfance, enfantin, puéril
344;N3;幾;キ;いく;combien, quelques
345;N2;庁;チョウ, テイ;やくしょ;bureau gouvernemental
346;N4;広;コウ;ひろ.い;large, vaste
347;N2;床;ショウ;とこ, ゆか;plancher, lit, tatami, compteur pour les lits
348;N2;底;テイ;そこ;fond, profondeur
349;N5;店;テン;みせ;magasin, échoppe
350;N2;府;フ;-;préfecture, bureau gouvernemental
351;N4;度;ト;たび;fois, occurrence, degré (°C/F)
352;N3;座;ザ;すわ.る;s'asseoir, siège, rassemblement
353;N2;庫;コ, ク;くら;entrepôt, stock
354;N3;庭;テイ;にわ;jardin
355;N2;康;コウ;-;tranquille, paisible, calme
356;N2;延;エン;の.びる, の.ばす;allonger, prolonger, être prolongé
357;N4;建;ケン, コン;た.てる;construire, construction
358;N3;式;シキ;-;méthode, style, cérémonie
359;N4;引;イン;ひ.く, ひ.ける;"cesser, diminuer, jouer (musique), prendre
froid"
360;N4;弟;テイ, ダイ;おとうと;frère cadet, apprenti, disciple
361;N4;弱;ジャク;よわ.い;faible
362;N2;張;チョウ;は.る;allonger, étirer, fixer, coller, tendre
363;N4;強;キョウ;つよ.い;fort
364;N3;当;トウ;あ.たる;viser, toucher, approprié
365;N3;形;ケイ, ギョウ;かたち;forme, type, apparence
366;N3;役;ヤク, エキ;-;service, corvée, poste
368;N3;彼;ヒ;かれ, かの;il, celui-là
369;N4;待;タイ;ま.つ;attendre
370;N2;律;リツ;-;loi, régulation, rythme
371;N5;後;ゴ, コウ;"のち, うし.ろ, あと, お
く.れる";après, derrière
372;N3;徒;ト;いたずら, あだ;élève, compagnon, vain, futile
373;N3;得;トク;え.る, う.る;acquérir, obtenir, avantage, bénéfice
374;N3;御;ギョ, ゴ;おん, み;honorable, manipuler, contrôler, administrer
375;N2;復;フク;また;retourner, reprendre, restaurer
376;N4;心;シン;こころ;cœur, esprit
377;N3;必;ヒツ;かなら.ず;nécessaire, inévitable
378;N2;志;シ;"こころざ.す, こころざ
し";volonté, intention, avoir l'intention de
379;N3;忘;ボウ;わす.れる;oublier
380;N3;忙;ボウ;"いそが.しい, せわ.しい,
おそ.れる";être occupé, débordé
381;N2;忚;オウ;こた.える;répondre, postuler, accepter
382;N2;快;カイ;こころよ.い;agréable, plaisant, confortable
383;N3;念;ネン;-;pensée, idée, souhait
384;N3;怒;ド;いか.る, おこ.る;se mettre en colère, emportement, fureur
385;N3;怖;フ;"こわ.い, お.じる, おそ.
れる";avoir peur, redouter, craindre, effrayant
386;N4;思;シ;おも.う;penser
387;N4;急;キュウ;いそ.ぐ;se dépêcher, urgent, soudain
388;N3;性;セイ;さが;genre, nature, sexe
389;N2;恋;レン;こ.う, こい;amour, être amoureux
390;N3;恐;キョウ;おそ.れる, こわ.い;peur, crainte, inquiétude
391;N3;恥;チ;は.ずかしい;honte, gêne, déshonneur
392;N3;息;ソク;いき;souffle, respiration
393;N2;恵;ケイ, エ;めぐ.む;service, faveur, bienfait, grâce
394;N2;患;カン;わずら.う;souffrir de, maladie, souffrance
395;N2;悩;ノウ;なや.む;ennui, souci, peine, tourment
396;N4;悪;アク;わる.い;mauvais, vice, mal
397;N3;悲;ヒ;かな.しい, かな.しむ;mélancolie, peine, se lamenter
398;N3;情;ジョウ, セイ;なさ.け;"tendresse, compassion, émotion,
circonstances"
400;N3;想;ソウ;おも.う;pensée, idée, conception
401;N4;意;イ;-;volontée, idée
402;N3;愛;アイ;いと.しい;amour, affection
403;N3;感;カン;-;émotion, sentiment
404;N3;慣;カン;な.れる;s'habituer à, coutume
405;N2;憎;ゾウ;にく.む;détester, haïr, haine
406;N3;成;セイ;な.る;se changer en, devenir, croissance
407;N3;戦;セン;たたか.う;guerre, combat, combattre
408;N2;戸;コ;と;porte
409;N3;戻;レイ;もど.る;revenir, rendre, restituer
410;N4;所;ショ;ところ;endroit, lieu, place
411;N5;手;シュ;て;main
412;N3;才;サイ;-;talent, génie, don
413;N3;打;ダ;う.つ;frapper, taper, battre
414;N3;払;フツ;はら.う;payer, nettoyer
415;N2;批;ヒ;-;critique, analyse, commentaire
416;N2;承;ショウ, ジョウ;うけたまわ.る;entendre, recevoir, être informé
417;N2;技;ギ;わざ;technique, habileté, prouesse
418;N3;投;トウ;な.げる;jeter, lancer, investir
419;N3;折;セツ;お.る;plier, courber, casser, rompre
420;N3;抜;バツ;ぬ.く;extraire, enlever, laisser de côté, omettre
421;N3;抱;ホウ;"だ.く, いだ.く, かか.え
る";étreindre, serrer dans ses bras
422;N3;押;オウ;お.す, おさ.える;appuyer, pousser, arrêter, maintenir, retenir
423;N2;担;タン;かつ.ぐ, にな.う;porter sur le dos, se charger de, responsable
424;N3;招;ショウ;まね.く;inviter
425;N2;拝;ハイ;おが.む, おろが.む;vénérer, prier, adorer
426;N2;拡;カク, コウ;ひろ.がる;élargir, étendre, agrandir
427;N2;拾;シュウ;ひろ.う;ramasser, recueillir, cueillir
428;N4;持;ジ;も.つ;tenir, avoir
429;N3;指;シ;ゆび, さ.す;doigt, désigner, indiquer
430;N2;挟;キョウ, ショウ;"はさ.む, わきばさ.む,
さしはさ.む";"pincement, pincer, être coincé, être pris
entre deux"
431;N3;捕;ホ;"つか.まる, と.らえる,
とら.える";attraper, capturer
433;N2;捜;ソウ, シュ, シュウ;さが.す;chercher, rechercher
434;N2;捨;シャ;す.てる;jeter, abandonner, démissionner
435;N2;掃;ソウ, シュ;は.く;nettoyer, balayer
436;N2;授;ジュ;さず.ける;conférer, accorder
437;N2;掘;クツ;ほ.る;creuser, fouiller
438;N3;掛;カイ, ケイ;か.ける, か.かる;"accrocher, suspendre, dépendre, arriver à,
taxe"
439;N2;採;サイ;と.る;prendre, récolter, cueillir
440;N3;探;タン;さが.す,  さぐ.る;chercher, enquête
441;N2;接;セツ, ショウ;つ.ぐ;toucher, contact, joindre
442;N2;換;カン;か.える;échanger, remplacer
443;N2;損;ソン;そこ.なう;blesser, cause du dommage, nuire
444;N2;操;ソウ, サン;みさお, あやつ.る;manipuler, mener, diriger, fidélité, chasteté
445;N3;支;シ;ささ.える;soutenir, soutien, support, succursale
446;N2;改;カイ;あらた.める;modifier, améliorer, réformer
447;N3;放;ホウ;はな.す, はな.つ;libérer, relâcher, émettre
448;N3;政;セイ, ショウ;まつりごと, まん;politique, gouvernement, administration
449;N2;故;コ;ゆえ, ふる.い, もと;défunt, circonstances, cause
450;N2;救;キュウ;すく.う;secourir, sauver, aider
451;N3;敗;ハイ;やぶ.れる;défaire, échec, échouer
452;N4;教;キョウ;おし.える;enseigner, religion, foi
453;N3;散;サン;ち.らかる, ち.らかす;éparpiller, mettre en désordre, s'éparpiller
454;N2;敬;ケイ, キョウ;うやま.う;respecter, vénérer, honorer
455;N3;数;スウ;かず, かぞ.える;chiffre, compter
456;N2;整;セイ;ととの.える;mettre en ordre, arranger
457;N4;文;ブン, モン;ふみ, あや;lettre, écriture, littérature, phrase
458;N4;料;リョウ;-;matériau, prix, frais
459;N3;断;ダン;ことわ.る;"refuser, décliner une offre, décision,
jugement"
460;N5;新;シン;あたら.しい;nouveau, frais
461;N4;方;ホウ;かた;personne, direction, manière de
462;N4;旅;リョ;たび;voyage
463;N4;族;ゾク;つぎ;famille, clan, bande
464;N5;日;ニチ, ジツ;ひ, か;jour, soleil, Japon, compteur pour les jours
465;N2;旧;キュウ;ふる.い, もと;ancien, d'autrefois
467;N4;早;ソウ;はや.い;rapide, tôt
468;N2;昇;ショウ;のぼ.る;s'élever, grimper, monter
469;N4;明;メイ;あか.るい;clair, brillant
470;N3;易;エキ, イ;やさ.しい;simple, divination, commerce
471;N3;昔;セキ;むかし;autrefois, il était une fois
472;N2;星;セイ;ほし;étoile
473;N4;映;エイ;うつ.す, は.える;projection, se refléter, réflexion
474;N4;春;シュン;はる;printemps
475;N3;昨;サク;-;hier, précédent
476;N4;昼;チュウ;ひる;journée, midi
477;N5;時;ジ;とき;temps, heure
478;N3;晩;バン;-;soir, crépuscule
479;N2;普;フ;あまね.く;universel, large, général, Prusse
480;N3;景;ケイ;-;paysage, vue, scène
481;N3;晴;セイ;は.れる;s'éclaircir (temps)
482;N4;暑;ショ;あつ.い;chaud (météorologique)
483;N2;暖;ダン, ノン;"あたた.かい, あたた.め
る";chaleur, chauffer
484;N4;暗;アン;くれ.る;obscurité, s'assombrir
485;N3;暮;ボ;く.れる;fin, se terminer, s'achever
486;N2;暴;ボウ, バク;あば.く, あば.れる;agir violemment, cruauté, violence, dévoiler
487;N2;曇;ドン;くも.る;temps couvert, nuageux, se couvrir (temps)
488;N4;曜;ヨウ;-;jour de la semaine
489;N3;曲;キョク;ま.がる;morceau de musique, courber
490;N3;更;コウ;さら, ふ.かす;veiller tard la nuit, bien sûr
491;N5;書;ショ;か.く;écrire
492;N2;替;タイ;か.わる;remplacer, substituer, échanger
493;N3;最;サイ;もっと.も;le plus, préfixe pour les superlatifs
494;N5;月;ゲツ, ガツ;つき;lune, mois
495;N4;有;ユウ, ウ;あ.る;posséder, avoir
496;N4;服;フク;-;vêtement, avaler (un médicament)
497;N3;望;ボウ, モウ;のぞ.む;espérer, aspirer à, désir, espoir
498;N4;朝;チョウ;あさ;matin
499;N3;期;キ, ゴ;-;période, terme, temps
501;N5;木;モク;き;arbre, bois
502;N3;未;ミ, ビ;ま.だ;pas encore
503;N3;末;マツ;すえ;fin, extrémité, bout
504;N5;本;ホン;もと;"livre, essentiel, réalité, compteur pour les
objets allongés"
505;N2;札;サツ;ふだ;étiquette, carte, compteur de billets
506;N2;机;キ;つくえ;table, bureau
507;N2;材;ザイ;-;matériau, ingrédient, talent
508;N4;村;ソン;むら;village
509;N3;束;ソク;たば;faisceau, liasse, rame (de papier), bouquet
510;N2;条;ジョウ;えだ, すじ;article, clause, bande
511;N5;来;ライ;く.る;venir, suivant
512;N3;杯;ハイ;さかずき;"coupe pour le saké, verre, toast, compteur
pour les verres"
513;N5;東;トウ;ひがし;Est
514;N2;板;ハン;いた;planche, panneau, plaque
515;N4;林;リン;はやし;bois, bosquet
516;N2;枚;マイ, バイ;-;feuille de, compteur d'objets plats
517;N3;果;カ;は.て;fruit, résultat, achever
518;N2;枝;シ;えだ;branche, rameau, brindille
519;N2;枯;コ;か.れる;flétrir, s'épuiser, dépérir
520;N2;柔;ジュウ, ニュウ;やわ.らか;tendresse, douceur, souplesse
521;N2;柱;チュウ;はしら;colonne, pilier
522;N2;査;サ;-;investigation
523;N2;栄;エイ;は.え, は.える;florissant, prospère, prospérer
524;N5;校;コウ;めん;école
525;N2;根;コン;ね;persévérance, racine, origine
526;N3;格;カク, コウ;-;rang, statut, clause
